team,players
ac sparta prague,"['Martin Vitík', 'Ladislav Krejci', 'Veljko Birmancevic', 'Lukas Haraslin', 'Angelo Preciado', 'Jan Kuchta', 'Kaan Kairinen', 'Adam Karabec', 'Asger Sörensen', 'Qazim Laci', 'Markus Solbakken']"
sk slavia prague,"['Oscar', 'Christos Zafeiris', 'Matej Jurasek', 'Mojmir Chytil', 'Tomas Vlcek', 'David Zima', 'Igoh Ogbu', 'Jindrich Stanek', 'Lukas Provod', 'Conrad Wallem', 'Tomas Holes']"
aek athens,"['Levi García', 'Orbelín Pineda', 'Harold Moukoudi', 'Robert Ljubicic', 'Mijat Gacinovic', 'Damian Szymanski', 'Ezequiel Ponce', 'Jens Jönsson', 'Niclas Eliasson', 'Steven Zuber', 'Sergio Araujo']"
servette fc,"['Timothé Cognat', 'Alexis Antunes', 'Bendegúz Bolla', 'Dereck Kutesa', 'Keigo Tsunemoto', 'Yoan Severin', 'Dylan Bronn', 'Bradley Mazikou', 'Takuma Nishimura', 'Jérémy Guillemenot', 'Enzo Crivelli']"
raków częstochowa,"['Vladan Kovacevic', 'Fran Tudor', 'Vladyslav Kochergin', 'Ivi López', 'Giannis Papanikolaou', 'Stratos Svarnas', 'Ben Lederman', 'John Yeboah', 'Erick Otieno', 'Ante Crnac', 'Bogdan Racovițan']"
panathinaikos fc,"['Fotis Ioannidis', 'Anastasios Bakasetas', 'Andraz Sporar', 'Georgios Vagiannidis', 'Tonny Vilhena', 'Willian Arão', 'Daniel Mancini', 'Adam Gnezda Cerin', 'Samet Akaydin', 'Bernard', 'Benjamin Verbic']"
union saint-gilloise,"['Mohamed Amoura', 'Cameron Puertas', 'Koki Machida', 'Gustaf Nilsson', 'Kevin Mac Allister', 'Lazare Amani', 'Noah Sadiki', 'Alessio Castro-Montes', 'Loïc Lapoussin', 'Charles Vanhoutte', 'Kevin Rodríguez']"
sk sturm graz,"['Alexander Prass', 'Mika Biereth', 'Tomi Horvat', 'Otar Kiteishvili', 'Jusuf Gazibegovic', 'Vitezslav Jaros', 'Jon Gorenc Stankovic', 'Gregory Wüthrich', 'Dimitri Lavalée', 'David Affengruber', 'William Böving']"
fc toulouse,"['Thijs Dallinga', 'Guillaume Restes', 'Zakaria Aboukhlal', 'Logan Costa', 'Christian Mawissa', 'Rasmus Nicolaisen', 'Stijn Spierings', 'Yann Gboho', 'Cristian Cásseres Jr.', 'Aron Dønnum', 'Mikkel Desler']"
rangers fc,"['Fábio Silva', 'Todd Cantwell', 'Nicolas Raskin', 'James Tavernier', 'Abdallah Sima', 'John Lundstram', 'Connor Goldson', 'Danilo', 'Rıdvan Yılmaz', 'Borna Barisic', 'Cyriel Dessers']"
olympiacos piraeus,"['Daniel Podence', 'David Carmo', 'Fran Navarro', 'Santiago Hezze', 'Mady Camara', 'Francisco Ortega', 'Georgios Masouras', 'André Horta', 'Chiquinho', 'Giulian Biancone', 'Andreas Ndoj']"
sc braga,"['Ricardo Horta', 'Simon Banza', 'Álvaro Djaló', 'Abel Ruiz', 'Víctor Gómez', 'Rodrigo Zalazar', 'Bruma', 'Matheus', 'Roger', 'Vitor Carvalho', 'Serdar Saatçı']"
shakhtar donetsk,"['Georgiy Sudakov', 'Mykola Matvienko', 'Marlon Gomes', 'Kevin', 'Artem Bondarenko', 'Danylo Sikan', 'Lassina Traoré', 'Oleksandr Zubkov', 'Valeriy Bondar', 'Dmytro Riznyk', 'Yukhym Konoplya']"
sc freiburg,"['Philipp Lienhart', 'Kiliann Sildillia', 'Matthias Ginter', 'Roland Sallai', 'Ritsu Doan', 'Vincenzo Grifo', 'Maximilian Eggestein', 'Merlin Röhl', 'Michael Gregoritsch', 'Noah Atubolu', 'Noah Weißhaupt']"
galatasaray,"['Mauro Icardi', 'Davinson Sánchez', 'Kerem Aktürkoğlu', 'Lucas Torreira', 'Victor Nelsson', 'Wilfried Zaha', 'Tetê', 'Barış Alper Yılmaz', 'Tanguy Ndombélé', 'Abdülkerim Bardakcı', 'Hakim Ziyech']"
rc lens,"['Elye Wahi', 'Kevin Danso', 'Facundo Medina', 'Brice Samba', 'Salis Abdul Samed', 'Andy Diouf', 'Przemyslaw Frankowski', 'Angelo Fulgini', 'David Pereira da Costa', 'Neil El Aynaoui', 'Ruben Aguilar']"
real betis balompié,"['Guido Rodríguez', 'Pablo Fornals', 'Rui Silva', 'Assane Diao', 'Nabil Fekir', 'Abde Ezzalzouli', 'Marc Roca', 'Johnny Cardoso', 'Isco', 'Juan Miranda', 'Ayoze Pérez']"
villarreal cf,"['Yéremy Pino', 'Álex Baena', 'Gonçalo Guedes', 'Juan Foyth', 'Alexander Sørloth', 'Filip Jørgensen', 'Gerard Moreno', 'Ilias Akhomach', 'Bertrand Traoré', 'Alfonso Pedraza', 'Santi Comesaña']"
ajax amsterdam,"['Brian Brobbey', 'Jorrel Hato', 'Steven Bergwijn', 'Josip Sutalo', 'Chuba Akpom', 'Diant Ramaj', 'Kenneth Taylor', 'Carlos Forbs', 'Steven Berghuis', 'Branco van den Boomen', 'Borna Sosa']"
stade rennais fc,"['Amine Gouiri', 'Martin Terrier', 'Arthur Theate', 'Arnaud Kalimuendo', 'Enzo Le Fée', 'Désiré Doué', 'Benjamin Bourigeaud', 'Ludovic Blas', 'Adrien Truffert', 'Azor Matusiwa', 'Baptiste Santamaria']"
olympique marseille,"['Ismaïla Sarr', 'Iliman Ndiaye', 'Geoffrey Kondogbia', 'Jordan Veretout', 'Jonathan Clauss', 'Chancel Mbemba', 'Valentin Rongier', 'Amine Harit', 'Azzedine Ounahi', 'Pau López', 'Quentin Merlin']"
feyenoord rotterdam,"['Santiago Gimenez', 'Dávid Hancko', 'Lutsharel Geertruida', 'Mats Wieffer', 'Quilindschy Hartman', 'Quinten Timber', 'Calvin Stengs', 'Justin Bijlow', 'Luka Ivanusec', 'Igor Paixão', 'Yankuba Minteh']"
as roma,"['Tammy Abraham', 'Romelu Lukaku', 'Paulo Dybala', 'Lorenzo Pellegrini', 'Evan Ndicka', 'Bryan Cristante', 'Gianluca Mancini', 'Edoardo Bove', 'Tommaso Baldanzi', 'Houssem Aouar', 'Nicola Zalewski']"
sporting cp,"['Viktor Gyökeres', 'Gonçalo Inácio', 'Ousmane Diomande', 'Pedro Gonçalves', 'Morten Hjulmand', 'Marcus Edwards', 'Trincão', 'Hidemasa Morita', 'Nuno Santos', 'Iván Fresneda', 'Jerry St. Juste']"
atalanta bc,"['Giorgio Scalvini', 'Teun Koopmeiners', 'Ademola Lookman', 'Charles De Ketelaere', 'Éderson', 'Gianluca Scamacca', 'El Bilal Touré', 'Marco Carnesecchi', 'Matteo Ruggeri', 'Mario Pasalic', 'Emil Holm']"
sl benfica,"['António Silva', 'João Neves', 'Orkun Kökçü', 'David Neres', 'Anatoliy Trubin', 'Marcos Leonardo', 'Fredrik Aursnes', 'Florentino', 'Rafa', 'Arthur Cabral', 'Morato']"
west ham united,"['Lucas Paquetá', 'Jarrod Bowen', 'Mohammed Kudus', 'Nayef Aguerd', 'James Ward-Prowse', 'Tomas Soucek', 'Edson Álvarez', 'Kalvin Phillips', 'Kurt Zouma', 'Konstantinos Mavropanos', 'Emerson']"
brighton & hove albion,"['Evan Ferguson', 'Kaoru Mitoma', 'João Pedro', 'Pervis Estupiñán', 'Ansu Fati', 'Simon Adingra', 'Solly March', 'Julio Enciso', 'Adam Webster', 'Carlos Baleba', 'Billy Gilmour']"
ac milan,"['Rafael Leão', 'Theo Hernández', 'Mike Maignan', 'Fikayo Tomori', 'Ismaël Bennacer', 'Christian Pulisic', 'Malick Thiaw', 'Ruben Loftus-Cheek', 'Pierre Kalulu', 'Tijjani Reijnders', 'Yunus Musah']"
bayer 04 leverkusen,"['Florian Wirtz', 'Jeremie Frimpong', 'Alejandro Grimaldo', 'Exequiel Palacios', 'Edmond Tapsoba', 'Victor Boniface', 'Odilon Kossounou', 'Piero Hincapié', 'Jonathan Tah', 'Amine Adli', 'Nathan Tella']"
liverpool fc,"['Dominik Szoboszlai', 'Luis Díaz', 'Trent Alexander-Arnold', 'Alexis Mac Allister', 'Darwin Núñez', 'Mohamed Salah', 'Diogo Jota', 'Cody Gakpo', 'Ibrahima Konaté', 'Andrew Robertson', 'Curtis Jones']"
breidablik kópavogur,"['Ísak Snaer Thorvaldsson', 'Aron Bjarnason', 'Höskuldur Gunnlaugsson', 'Kristófer Kristinsson', 'Kristinn Steindórsson', 'Viktor Örn Margeirsson', 'Jason Dadi Svanthórsson', 'Damir Muminovic', 'Viktor Karl Einarsson', 'Anton Ari Einarsson', 'Kristinn Jónsson']"
