team_name,avg_rating_home,avg_rating_away
fc sheriff tiraspol,72.88588690369579,72.73362083908523
fc toulouse,68.11236471861471,68.11236471861471
fc viktoria plzen,72.40467222462108,72.33676652930086
fc zurich,71.223556998557,71.12052669552669
fenerbahce,74.4066632231405,74.40714403350273
ferencvarosi tc,70.77897727272727,70.85132575757575
feyenoord rotterdam,68.000815617065,68.05690868909338
fk bodo/glimt,67.85656565656565,67.85656565656565
fk tsc backa topola,69.71717171717172,69.71717171717172
france,74.08064457187834,73.89178719008264
galatasaray,75.89621212121212,75.89621212121212
germany,77.96542768198613,77.80993822522748
getafe cf,73.65878529150588,73.65563194656039
ghana,69.43773448773449,69.6376590581136
girona fc,69.28660444233434,69.28050712087911
gnk dinamo zagreb,71.90292207792207,71.90292207792207
granada cf,69.71622077163697,69.71316740960896
greece,72.98066378066379,71.52959956709957
hjk helsinki,67.26396963889225,67.37752834254383
honduras,73.26497113997114,72.20493681402773
iceland,66.43787878787879,66.93409090909091
inter milan,72.9942771949637,73.01735924431992
iran,73.02703823953824,73.43980552276007
italy,71.53535353535354,71.28372294372295
ivory coast,70.81996753246754,70.37971287971288
japan,70.89950764723491,68.89331035167712
juventus fc,72.3556682716836,72.3511542092488
lask,67.58838383838383,67.58838383838383
liverpool fc,73.15715488215488,73.15084175084175
ludogorets razgrad,69.05432553186563,69.04753262186416
maccabi haifa,71.08413832039993,71.0621162064942
malmo ff,71.01984126984127,71.01984126984127
manchester city,76.1382434938356,76.10979720114489
manchester united,75.7639563018351,75.77348668984348
mexico,68.76233766233766,68.53279861072069
molde fk,68.83989898989898,68.83989898989898
morocco,71.32981601731602,71.58341401023219
netherlands,77.29908162932638,75.88074183392365
new zealand,66.44848484848485,67.0945707070707
newcastle united,71.10394420394421,71.10394420394421
nigeria,72.06617192331478,71.57964187327825
north korea,74.42424242424242,72.01572414513592
olympiacos piraeus,71.23787878787878,71.19292929292929
olympique marseille,75.19579725829726,75.17448871835236
omonia nicosia,73.70699725397868,73.7462289673977
panama,72.68181818181819,72.0530303030303
panathinaikos fc,74.15848891390688,74.10448987482481
paraguay,72.15425685425684,72.50378787878788
paris saint-germain,74.64659176714164,74.65604858104858
peru,70.59848484848486,71.3199494949495
poland,73.24280303030304,72.93535353535354
portugal,73.20899073378412,73.15726711560045
psv eindhoven,69.22414122164616,69.22850157520189
qarabag fk,71.36224747474748,71.33448773448774
qatar,71.73484848484848,69.59949494949495
rakow czestochowa,69.31212121212121,69.31212121212121
rangers fc,71.19356833642549,71.21323438466295
rayo vallecano,70.71028491549406,70.70918645403519
rb leipzig,69.35198991797677,69.32777597402598
rc lens,71.52933340582862,71.55617017075568
rcd mallorca,72.23221411375906,72.23436978214528
real betis balompie,78.1245324303372,78.13906810184639
real madrid,74.66961273962822,74.6522902124217
real sociedad,71.66360876461793,71.6601965609787
red bull salzburg,69.94366139670309,69.97775275786212
red star belgrade,69.68941197691198,69.79272005772005
royal antwerp fc,70.47621452621452,70.50710108604845
russia,70.21399711399711,70.54774235865145
saudi arabia,67.48260224623861,67.44531680440772
sc braga,70.74670805385091,70.73914418914418
sc freiburg,73.58350168350168,73.50732323232323
senegal,76.42954545454546,76.34320346320347
serbia,73.07186147186148,72.93455932955933
servette fc,71.043093270366,71.05333858061131
sevilla fc,70.88337308033816,70.91811965175859
shakhtar donetsk,71.82679529527736,71.78291236901076
sk slavia prague,73.57791005291004,72.52887970615242
sk sturm graz,68.68120490620491,68.68120490620491
sl benfica,71.8898019842996,71.8464705151308
slovakia,70.22727272727272,70.92613636363636
slovenia,70.51590909090909,69.22222222222223
south africa,69.6548235855054,68.52708907254362
south korea,72.37537905817126,71.5256967419305
spain,74.19772727272728,74.24426406926408
sporting cp,67.51308539944904,67.51308539944904
ss lazio,74.1951929256551,74.20582453076925
ssc napoli,70.2262796006999,70.21018264076235
stade rennais fc,72.05048860453272,72.10208860403665
sweden,66.29556277056277,65.73050964187328
switzerland,73.17696969696969,72.433044077135
tahiti,72.65151515151516,72.8333928697565
tottenham hotspur,71.12743506493506,71.12743506493506
trabzonspor,70.32034632034633,70.2449494949495
tunisia,72.21438191438192,70.09134199134199
ud almeria,67.93447181140994,67.93916869250103
ud las palmas,71.71375086320553,71.7175010599059
union saint-gilloise,68.78955176767677,68.78955176767677
united states,71.06357142857144,71.02990620490621
uruguay,72.02639146567718,71.48686036186037
valencia cf,71.26353730264286,71.25710589077319
villarreal cf,73.52359966836327,73.53179429889741
wales,70.63636363636364,70.63636363636364
west ham united,71.83181818181818,71.83181818181818
